Live births by age of father 1981-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,Age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All children,Under 15 years,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All children,15 years,0,1,0,3,3,2,1,0,0,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
All children,16 years,5,7,6,3,6,5,8,3,4,6,0,2,2,1,3,4,5,5,5,3,2,0,2,1,1,0,2,2,4,1,3,1,2,0,1,0,0,0,0
All children,17 years,26,25,26,11,10,13,12,12,11,15,17,12,9,7,12,8,17,9,16,8,7,6,1,6,3,3,6,3,7,7,2,3,1,3,0,2,4,1,2
All children,18 years,67,64,47,48,39,26,35,30,33,28,39,24,26,19,24,24,34,24,29,25,18,12,11,12,16,14,14,15,12,15,9,9,10,5,8,6,9,3,5
All children,19 years,115,100,77,70,78,56,58,64,65,61,57,46,51,46,39,42,37,64,40,52,46,33,29,15,26,30,21,33,30,21,28,30,18,12,16,19,16,13,11
All children,20 years,137,160,146,122,99,97,102,98,83,108,70,74,79,85,75,74,69,67,58,85,54,52,62,49,44,29,44,55,41,54,37,38,29,28,32,17,25,23,28
All children,21 years,223,203,198,163,156,127,146,162,104,132,124,119,123,109,85,100,94,95,95,84,79,68,69,54,52,60,67,58,71,66,58,74,59,54,44,29,33,41,45
All children,22 years,234,236,237,234,186,187,191,178,178,159,153,135,116,129,141,113,108,123,119,120,120,102,95,85,95,90,96,93,106,85,78,93,78,91,72,67,62,66,56
All children,23 years,296,270,250,244,209,223,211,224,220,197,197,193,197,180,181,164,171,125,148,136,132,120,121,138,116,137,95,118,133,103,115,97,100,117,86,87,91,84,80
All children,24 years,259,298,295,260,234,229,235,251,240,219,212,196,183,186,158,204,200,167,166,167,180,145,153,175,160,157,156,158,159,157,139,152,146,128,127,126,127,135,115
All children,25 years,301,324,298,293,261,258,260,278,269,270,246,271,238,196,213,182,196,250,215,197,194,178,193,181,211,198,184,213,199,178,149,177,174,195,152,147,146,151,155
All children,26 years,274,290,304,275,252,294,261,305,289,281,273,283,266,255,221,242,196,238,274,252,218,197,203,210,225,222,233,246,233,221,191,182,169,203,190,187,175,197,197
All children,27 years,312,289,309,281,255,267,276,299,261,285,304,258,294,278,269,239,238,237,222,272,245,223,218,240,200,241,312,259,301,264,226,203,201,208,217,214,254,246,232
All children,28 years,262,285,249,265,234,235,263,329,286,319,281,280,293,271,248,269,239,255,239,280,260,259,245,268,260,247,291,315,348,310,268,277,228,224,265,249,231,263,273
All children,29 years,208,236,256,238,229,238,265,299,302,311,287,309,314,260,265,250,274,260,219,235,260,275,277,265,268,276,272,306,331,331,305,293,243,278,243,224,265,302,271
All children,30 years,259,206,251,238,234,219,255,284,275,310,260,270,305,303,281,301,251,225,231,236,265,291,281,257,284,254,274,296,321,331,299,312,283,277,220,230,255,304,296
All children,31 years,208,181,209,209,208,211,231,282,258,293,281,303,268,268,266,267,239,257,217,269,232,247,268,289,283,271,289,273,298,298,297,284,307,303,260,224,230,257,310
All children,32 years,175,200,194,164,179,210,178,253,268,267,227,250,240,257,232,251,258,239,219,222,197,226,230,272,267,277,250,312,286,262,273,306,254,301,262,270,218,239,265
All children,33 years,161,159,185,178,161,175,198,227,236,246,221,267,269,232,236,213,204,213,234,216,214,248,224,224,280,296,285,264,314,295,243,262,301,266,260,263,250,214,253
All children,34 years,152,141,154,148,147,137,190,188,214,219,194,210,214,232,223,204,199,209,193,227,203,170,229,204,215,265,302,268,274,285,241,225,242,223,249,247,240,241,262
All children,35 years,124,111,143,140,122,121,152,158,192,200,202,200,216,198,200,157,195,203,210,211,185,186,182,200,217,216,208,254,238,239,239,224,190,209,225,208,226,204,210
All children,36 years,121,107,100,111,97,103,119,141,165,155,141,158,169,166,165,171,161,161,163,191,151,186,165,182,158,205,213,238,237,239,220,229,189,201,176,200,193,203,242
All children,37 years,80,77,83,95,90,88,90,127,96,140,137,142,107,140,148,152,169,126,139,143,156,138,146,153,157,165,140,183,200,209,159,191,185,176,160,199,163,156,195
